Saults & Pollard Real Estate,,,,,,,,,,,,,,,,,,,
C750 Cost Detail,,,,,,,,,,,,,,,,,,,
"Fiscal January 1, 2026 - December 31, 2026",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Hours,Miles,Hangar,Pilot Salary,Insurance,Training,Publications,Total,,Nav Canada,Crew Exp.,Catering,Prk/cus/ldg,Maintenance,Fuel,WAA,Fast Air,RRCC,TOTAL
Jan,15.4,6165.0,10095.75,36332.89,2392.0,51450.0,0.0,100270.64,,0.0,0.0,0.0,0.0,252583.19,0.0,0.0,0.0,0.0,
Feb,15.3,5734.0,10095.75,36332.89,2392.0,0.0,0.0,48820.64,,0.0,0.0,0.0,0.0,-4141.34,10207.12,0.0,0.0,0.0,
Mar,,,10095.75,36332.89,2392.0,0.0,3785.25,52605.89,,343.37,0.0,0.0,0.0,70874.2,0.0,0.0,0.0,18941.0,
Apr,,,10095.75,31957.9,2392.0,0.0,6274.5,50720.15,,0.0,0.0,0.0,0.0,122391.43000000001,10207.12,0.0,0.0,18941.0,
May,,,10095.75,31957.9,2392.0,4241.62,0.0,48687.270000000004,,0.0,0.0,0.0,0.0,0.0,14946.68,0.0,0.0,0.0,
Jun,,,10095.75,31957.9,2392.0,0.0,0.0,44445.65,,0.0,0.0,0.0,0.0,1704.8600000000001,44600.38,0.0,0.0,0.0,
Jul,,,10095.75,31957.9,2392.0,0.0,764.64,45210.29,,0.0,0.0,0.0,0.0,0.0,16960.77,0.0,0.0,0.0,
Aug,,,10095.75,31957.9,2392.0,0.0,9550.0,53995.65,,0.0,0.0,0.0,0.0,0.0,27526.32,0.0,0.0,0.0,
Sep,,,10095.75,31957.9,2392.0,0.0,0.0,44445.65,,0.0,0.0,0.0,0.0,0.0,3740.51,0.0,0.0,0.0,
Oct,,,10095.75,31957.9,2392.0,1790.25,1801.0,48036.9,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,
Nov,,,10095.75,31957.9,2392.0,358.35,4300.0,49104.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,
Dec,,,10095.75,31957.9,2392.0,0.0,0.0,44445.65,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,
,30.700000000000003,11899.0,121149.0,396619.77,28704.0,57840.22,26475.39,630788.38,,343.37,0.0,0.0,0.0,443442.34,128188.90000000001,0.0,0.0,37882.0,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,
*All prices include GST,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Direct cost per mile,,,,,,,,,,,,,,,
,,,,Direct cost per hour,,,,,,,,,,,,,,,
,,,,Total cost per mile,,,,,,,,,,,,,,,
,,,,Total cost per hour,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
